"Município";"População de 15 anos ou mais"
"170389 CARRASCO BONITO";1809
"170390 CASEARA";2232
"170410 CENTENARIO";1363
"170460 CHAPADA DE AREIA";879
"170510 CHAPADA DA NATIVIDADE";1762
"170550 COLINAS DO TOCANTINS";16627
"170555 COMBINADO";2960
"170560 CONCEICAO DO TOCANTINS";2463
"170600 COUTO MAGALHAES";2765
"170610 CRISTALANDIA";4918
"170625 CRIXAS DO TOCANTINS";939
"170650 DARCINOPOLIS";2618
"170700 DIANOPOLIS";9345
"170710 DIVINOPOLIS DO TOCANTINS";3811
"170720 DOIS IRMAOS DO TOCANTINS";4893
"170730 DUERE";2988
"170740 ESPERANTINA";4099
"170755 FATIMA";2528
"170765 FIGUEIROPOLIS";3842
"170770 FILADELFIA";5090
"170820 FORMOSO DO ARAGUAIA";12249
"170825 FORTALEZA DO TABOCAO";1416
"170830 GOIANORTE";3171
"170900 GOIATINS";6255
"170930 GUARAI";13490
"170950 GURUPI";44429
"170980 IPUEIRAS";645
"171050 ITACAJA";4373
"171070 ITAGUATINS";3911
"171090 ITAPIRATINS";2045
"171110 ITAPORA DO TOCANTINS";1556
"171150 JAU DO TOCANTINS";2160
"171180 JUARINA";1526
"171190 LAGOA DA CONFUSAO";3839
"171195 LAGOA DO TOCANTINS";1425
"171200 LAJEADO";1488
"171215 LAVANDEIRA";821
"171240 LIZARDA";2179
"171245 LUZINOPOLIS";1202
"171250 MARIANOPOLIS DO TOCANTINS";2181
"171270 MATEIROS";875
"171280 MAURILANDIA DO TOCANTINS";1675
"171320 MIRACEMA DO TOCANTINS";15224
"171330 MIRANORTE";8019
"171360 MONTE DO CARMO";3107
"171370 MONTE SANTO DO TOCANTINS";1225
"171380 PALMEIRAS DO TOCANTINS";2715
"171395 MURICILANDIA";1617
"171420 NATIVIDADE";5486
"171430 NAZARE";3323
"171488 NOVA OLINDA";6004
"171500 NOVA ROSALANDIA";2083
"171510 NOVO ACORDO";1777
"171515 NOVO ALEGRE";1519
"171525 NOVO JARDIM";1267
"171550 OLIVEIRA DE FATIMA";624
"171570 PALMEIRANTE";2159
"171575 PALMEIROPOLIS";4828
"171610 PARAISO DO TOCANTINS";24722
"171620 PARANA";6166
"171630 PAU D'ARCO";2644
"171650 PEDRO AFONSO";5811
"171660 PEIXE";5707
"171665 PEQUIZEIRO";2988
"171670 COLMEIA";6218
"171700 PINDORAMA DO TOCANTINS";2996
"171720 PIRAQUE";1633
"171750 PIUM";3616
"171780 PONTE ALTA DO BOM JESUS";2897
"171790 PONTE ALTA DO TOCANTINS";3841
"171800 PORTO ALEGRE DO TOCANTINS";1361
"171820 PORTO NACIONAL";29012
"171830 PRAIA NORTE";3810
"171840 PRESIDENTE KENNEDY";2455
"171845 PUGMIL";1177
"171850 RECURSOLANDIA";1820
"171855 RIACHINHO";2140
"171865 RIO DA CONCEICAO";686
"171870 RIO DOS BOIS";1448
"171875 RIO SONO";3707
"171880 SAMPAIO";1575
"171884 SANDOLANDIA";2255
"171886 SANTA FE DO ARAGUAIA";3193
"171888 SANTA MARIA DO TOCANTINS";1410
"171889 SANTA RITA DO TOCANTINS";1203
"171890 SANTA ROSA DO TOCANTINS";2492
"171900 SANTA TEREZA DO TOCANTINS";1332
"172000 SANTA TEREZINHA DO TOCANTINS";1506
"172010 SAO BENTO DO TOCANTINS";2157
"172015 SAO FELIX DO TOCANTINS";700
"172020 SAO MIGUEL DO TOCANTINS";5081
"172025 SAO SALVADOR DO TOCANTINS";1692
"172030 SAO SEBASTIAO DO TOCANTINS";2118
"172049 SAO VALERIO";3112
"172065 SILVANOPOLIS";2980
"172080 SITIO NOVO DO TOCANTINS";5806
"172085 SUCUPIRA";901
"172090 TAGUATINGA";8548
"172093 TAIPAS DO TOCANTINS";1022
"172097 TALISMA";1412
"172100 PALMAS";90847
"172110 TOCANTINIA";3232
"172120 TOCANTINOPOLIS";14355
"172125 TUPIRAMA";733
"172130 TUPIRATINS";830
"172208 WANDERLANDIA";6744
"172210 XAMBIOA";7501
"210005 ACAILANDIA";54665
"210010 AFONSO CUNHA";2739
"210015 AGUA DOCE DO MARANHAO";5757
"210020 ALCANTARA";13347
"210030 ALDEIAS ALTAS";11382
"210040 ALTAMIRA DO MARANHAO";5334
"210043 ALTO ALEGRE DO MARANHAO";12450
"210047 ALTO ALEGRE DO PINDARE";17128
"210050 ALTO PARNAIBA";6020
"210055 AMAPA DO MARANHAO";2994
"210060 AMARANTE DO MARANHAO";17968
"210070 ANAJATUBA";14353
"210080 ANAPURUS";6127
"210083 APICUM-ACU";5991
"210087 ARAGUANA";5365
"210090 ARAIOSES";21134
"210095 ARAME";16732
"210100 ARARI";16567
"210110 AXIXA";6153
"210120 BACABAL";59598
"210125 BACABEIRA";6318
"210130 BACURI";8818
"210135 BACURITUBA";2920
"210140 BALSAS";36339
"210150 BARAO DE GRAJAU";10110
"210160 BARRA DO CORDA";47175
"210170 BARREIRINHAS";22218
"210173 BELAGUA";2624
"210177 BELA VISTA DO MARANHAO";5936
"210180 BENEDITO LEITE";3244
"210190 BEQUIMAO";12454
"210193 BERNARDO DO MEARIM";3357
"210197 BOA VISTA DO GURUPI";2792
"210200 BOM JARDIM";20881
"210203 BOM JESUS DAS SELVAS";9773
"210207 BOM LUGAR";7083
"210210 BREJO";17110
"210215 BREJO DE AREIA";5740
"210220 BURITI";13970
"210230 BURITI BRAVO";12952
"210232 BURITICUPU";28294
"210235 BURITIRANA";8214
"210237 CACHOEIRA GRANDE";3768
"210240 CAJAPIO";5755
"210250 CAJARI";7709
"210255 CAMPESTRE DO MARANHAO";6876
"210260 CANDIDO MENDES";9855
"210270 CANTANHEDE";10199
"210275 CAPINZAL DO NORTE";6608
"210280 CAROLINA";15032
"210290 CARUTAPERA";10583
"210300 CAXIAS";90443
"210310 CEDRAL";6239
"210312 CENTRAL DO MARANHAO";4293
"210315 CENTRO DO GUILHERME";3313
"210317 CENTRO NOVO DO MARANHAO";8014
"210320 CHAPADINHA";37219
"210325 CIDELANDIA";7235
"210330 CODO";69659
"210340 COELHO NETO";25924
"210350 COLINAS";21529
"210355 CONCEICAO DO LAGO-ACU";6119
"210360 COROATA";34836
"210370 CURURUPU";21157
"210375 DAVINOPOLIS";7519
"210380 DOM PEDRO";14165
"210390 DUQUE BACELAR";5420
"210400 ESPERANTINOPOLIS";13027
"210405 ESTREITO";14399
"210407 FEIRA NOVA DO MARANHAO";4322
"210408 FERNANDO FALCAO";2717
"210409 FORMOSA DA SERRA NEGRA";7613
"210410 FORTALEZA DOS NOGUEIRAS";6554
"210420 FORTUNA";8976
"210430 GODOFREDO VIANA";4127
"210440 GONCALVES DIAS";10664
"210450 GOVERNADOR ARCHER";5704
"210455 GOVERNADOR EDISON LOBAO";6691
"210460 GOVERNADOR EUGENIO BARROS";9013
"210462 GOVERNADOR LUIZ ROCHA";3921
"210465 GOVERNADOR NEWTON BELLO";6923
"210467 GOVERNADOR NUNES FREIRE";14721
"210470 GRACA ARANHA";3921
"210480 GRAJAU";27002
"210490 GUIMARAES";8054
"210500 HUMBERTO DE CAMPOS";11743
"210510 ICATU";12081
"210515 IGARAPE DO MEIO";5845
"210520 IGARAPE GRANDE";6140
"210530 IMPERATRIZ";152989
"210535 ITAIPAVA DO GRAJAU";7177
"210540 ITAPECURU MIRIM";25736
"210542 ITINGA DO MARANHAO";14271
"210545 JATOBA";3003
"210547 JENIPAPO DOS VIEIRAS";5583
"210550 JOAO LISBOA";15067
"210560 JOSELANDIA";8912
"210565 JUNCO DO MARANHAO";3204
"210570 LAGO DA PEDRA";24833
"210580 LAGO DO JUNCO";5946
"210590 LAGO VERDE";7677
"210592 LAGOA DO MATO";5912
"210594 LAGO DOS RODRIGUES";5239
"210596 LAGOA GRANDE DO MARANHAO";4698
"210598 LAJEADO NOVO";3213
"210600 LIMA CAMPOS";7027
"210610 LORETO";5919
"210620 LUIS DOMINGUES";3340
"210630 MAGALHAES DE ALMEIDA";7983
"210632 MARACACUME";8771
"210635 MARAJA DO SENA";3850
"210637 MARANHAOZINHO";4819
"210640 MATA ROMA";7048
"210650 MATINHA";12593
"210660 MATOES";16008
"210663 MATOES DO NORTE";4377
"210667 MILAGRES DO MARANHAO";2974
"210670 MIRADOR";11816
"210675 MIRANDA DO NORTE";10206
"210680 MIRINZAL";7980
"210690 MONCAO";14454
"210700 MONTES ALTOS";6362
"210710 MORROS";8077
"210720 NINA RODRIGUES";4627
"210725 NOVA COLINAS";2091
"210730 NOVA IORQUE";2929
