"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Sem declaração";"Total"
"150420 MARABA";713,40;416,45;788,88;447,89;437,22;...;505,03
"150430 MARACANA";243,70;178,46;44,11;209,72;573,33;...;215,45
"150440 MARAPANIM";317,72;298,87;-;254,33;302,84;...;270,21
"150442 MARITUBA";431,58;329,13;536,40;347,93;203,06;...;366,44
"150445 MEDICILANDIA";434,34;336,59;345,74;298,26;366,47;...;339,79
"150450 MELGACO";163,57;147,28;100,92;128,77;...;...;134,80
"150460 MOCAJUBA";238,63;199,95;308,11;215,09;46,49;...;220,07
"150470 MOJU";348,50;333,37;191,38;269,66;171,51;...;287,71
"150480 MONTE ALEGRE";262,50;222,21;145,13;217,49;91,11;...;225,34
"150490 MUANA";271,90;172,58;228,77;220,43;...;...;227,19
"150495 NOVA ESPERANCA DO PIRIA";211,30;133,01;163,30;147,33;...;...;157,72
"150497 NOVA IPIXUNA";404,36;612,33;814,57;247,09;214,37;...;309,62
"150500 NOVA TIMBOTEUA";304,47;209,47;286,79;260,88;...;...;266,71
"150503 NOVO PROGRESSO";793,80;532,10;490,97;517,09;142,75;...;642,52
"150506 NOVO REPARTIMENTO";298,01;188,58;197,84;249,15;81,12;...;251,79
"150510 OBIDOS";365,93;195,36;246,00;231,31;39,47;...;253,77
"150520 OEIRAS DO PARA";198,95;163,31;464,28;168,34;...;...;174,99
"150530 ORIXIMINA";503,86;224,84;268,15;323,72;77,20;...;327,52
"150540 OUREM";352,36;215,37;1072,77;266,91;1270,00;...;278,52
"150543 OURILANDIA DO NORTE";557,44;380,18;696,70;402,14;101,00;...;420,02
"150548 PACAJA";356,56;171,04;283,50;201,23;664,00;...;227,66
"150549 PALESTINA DO PARA";342,48;236,15;329,25;264,32;153,65;...;276,35
"150550 PARAGOMINAS";763,38;483,68;556,58;415,16;154,92;...;491,75
"150553 PARAUAPEBAS";810,94;547,79;832,58;531,58;159,64;...;600,75
"150555 PAU D'ARCO";332,54;257,51;134,94;282,31;37,45;...;272,90
"150560 PEIXE-BOI";254,73;202,55;465,45;211,20;...;...;223,44
"150563 PICARRA";291,91;236,18;213,86;253,37;700,00;...;259,69
"150565 PLACAS";306,87;206,55;141,16;207,92;241,63;...;228,99
"150570 PONTA DE PEDRAS";290,77;236,25;70,58;240,59;...;...;248,63
"150580 PORTEL";260,74;200,86;470,85;171,22;2178,68;...;190,61
"150590 PORTO DE MOZ";306,72;200,59;104,66;163,82;...;...;186,85
"150600 PRAINHA";265,57;200,54;123,34;168,36;...;...;181,13
"150610 PRIMAVERA";313,11;310,75;747,67;248,72;...;...;276,02
"150611 QUATIPURU";357,84;245,77;1082,47;200,49;...;...;243,59
"150613 REDENCAO";676,69;405,35;406,66;468,46;263,89;...;518,53
"150616 RIO MARIA";574,86;456,30;431,61;394,70;198,80;...;454,43
