"Município";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Sem declaração";"Total"
"260100 ANGELIM";142,36;42,80;30,57;79,00;...;80,23;85,50
"260110 ARARIPINA";162,50;71,04;102,60;83,41;260,83;18,14;105,55
"260120 ARCOVERDE";251,65;135,45;596,09;173,55;188,80;...;196,51
"260130 BARRA DE GUABIRABA";111,78;65,05;...;90,69;...;425,53;98,63
"260140 BARREIROS";129,34;59,78;40,29;175,71;87,60;100,86;161,35
"260150 BELEM DE MARIA";111,98;55,37;...;67,69;...;34,23;81,99
"260160 BELEM DE SAO FRANCISCO";196,28;77,99;...;100,15;141,09;80,15;120,65
"260170 BELO JARDIM";154,10;80,95;131,11;121,94;71,77;47,15;132,17
"260180 BETANIA";59,83;30,47;...;69,19;...;36,84;63,75
"260190 BEZERROS";144,30;99,34;104,68;101,97;44,70;...;125,93
"260200 BODOCO";96,34;64,34;...;90,59;...;35,51;90,80
"260210 BOM CONSELHO";142,57;55,16;78,34;104,21;30,93;56,28;113,56
"260220 BOM JARDIM";117,07;85,31;44,60;79,11;...;53,57;92,70
"260230 BONITO";128,89;65,40;29,09;91,45;...;9,74;106,95
"260240 BREJAO";85,81;70,40;30,15;62,36;42,37;49,46;73,12
"260250 BREJINHO";81,43;216,11;...;75,23;...;65,22;79,83
"260260 BREJO DA MADRE DE DEUS";141,26;87,59;79,52;116,20;...;155,33;126,68
"260270 BUENOS AIRES";102,25;68,54;...;67,77;218,85;64,51;77,22
"260280 BUIQUE";149,73;47,39;...;75,65;22,12;...;84,47
"260290 CABO DE SANTO AGOSTINHO";185,69;112,44;128,79;141,84;213,08;61,69;149,86
"260300 CABROBO";205,36;94,02;...;104,57;70,18;...;135,76
"260310 CACHOEIRINHA";209,69;71,83;...;122,47;...;...;165,82
"260320 CAETES";89,75;53,73;...;84,22;64,67;...;85,44
"260330 CALCADO";88,72;114,66;17,85;73,72;...;21,40;78,20
"260340 CALUMBI";81,29;43,55;...;55,68;...;...;60,65
"260345 CAMARAGIBE";237,94;113,02;127,43;145,63;99,07;108,04;169,13
"260350 CAMOCIM DE SAO FELIX";207,76;94,53;77,21;121,21;179,88;135,51;165,00
"260360 CAMUTANGA";162,03;54,72;163,38;92,38;...;...;105,71
"260370 CANHOTINHO";129,95;70,24;139,64;80,51;...;37,40;93,57
"260380 CAPOEIRAS";98,33;68,46;...;88,25;...;...;91,74
"260390 CARNAIBA";102,73;58,90;...;71,09;...;-;80,22
"260400 CARPINA";223,27;107,06;1229,64;126,37;100,43;...;155,20
"260410 CARUARU";292,51;147,20;54,98;208,48;118,84;381,44;247,77
"260420 CATENDE";162,88;55,16;...;91,03;30,32;...;108,38
"260430 CEDRO";70,70;61,86;...;67,17;...;76,27;67,92
"260440 CHA DE ALEGRIA";107,57;65,90;94,76;74,47;...;...;80,05
"260450 CHA GRANDE";156,70;80,18;...;99,97;80,23;69,05;128,06
"260460 CONDADO";223,23;52,53;42,71;104,39;...;31,45;129,69
"260470 CORRENTES";116,59;67,50;...;81,68;...;...;96,84
"260480 CORTES";108,48;71,86;...;78,25;...;54,21;83,81
"260490 CUMARU";93,12;62,31;...;116,41;...;45,23;103,73
"260500 CUPIRA";129,52;72,29;...;106,56;...;...;115,31
"260510 CUSTODIA";104,99;69,73;67,45;95,91;...;56,55;97,70
"260520 ESCADA";133,89;98,59;...;86,94;...;58,66;97,59
"260530 EXU";123,62;46,35;...;65,04;...;55,41;79,33
"260540 FEIRA NOVA";105,78;68,24;...;83,39;29,25;63,53;90,74
"260545 FERNANDO DE NORONHA";430,43;143,25;...;310,47;...;...;333,94
"260550 FERREIROS";123,44;76,64;...;95,56;91,10;72,31;103,78
"260560 FLORES";77,50;52,87;63,88;68,82;...;...;70,91
"260570 FLORESTA";191,37;74,03;...;76,94;50,44;...;110,92
"260580 FREI MIGUELINHO";96,64;60,69;...;87,90;...;...;92,24
"260590 GAMELEIRA";80,66;134,36;...;90,50;...;...;88,74
"260600 GARANHUNS";275,66;128,99;107,95;187,42;84,09;109,00;216,96
"260610 GLORIA DO GOITA";127,13;72,40;135,30;81,84;...;32,97;92,88
"260620 GOIANA";228,61;82,00;159,93;104,62;...;29,86;131,96
"260630 GRANITO";103,84;123,23;...;62,06;...;66,62;63,86
"260640 GRAVATA";177,88;146,46;49,85;138,54;41,57;37,07;156,60
"260650 IATI";83,39;76,89;...;62,49;89,74;233,02;70,55
"260660 IBIMIRIM";95,45;80,26;...;94,67;65,71;...;93,56
"260670 IBIRAJUBA";108,31;42,02;...;67,30;36,20;...;79,71
"260680 IGARASSU";158,84;82,82;135,58;113,66;79,48;204,15;122,71
"260690 IGUARACY";107,64;121,12;...;82,24;152,09;110,30;90,68
"260700 INAJA";78,44;129,40;...;73,97;58,54;40,29;75,70
"260710 INGAZEIRA";99,25;45,51;...;58,25;...;...;71,41
"260720 IPOJUCA";114,72;103,74;40,65;88,11;...;105,48;94,60
"260730 IPUBI";72,63;55,93;18,63;93,00;34,98;43,14;89,57
"260740 ITACURUBA";500,30;280,62;...;115,95;...;...;203,68
"260750 ITAIBA";83,88;62,06;77,53;81,19;...;...;80,67
"260760 ILHA DE ITAMARACA";268,15;200,79;147,26;154,40;...;288,76;182,92
"260765 ITAMBE";139,02;54,41;...;70,27;10,86;63,98;94,16
"260770 ITAPETIM";96,98;33,94;...;64,97;...;...;83,10
"260775 ITAPISSUMA";133,91;100,14;124,70;89,29;...;214,00;95,08
"260780 ITAQUITINGA";125,44;49,22;9,69;82,00;...;48,09;89,39
"260790 JABOATAO DOS GUARARAPES";406,38;168,75;516,97;209,62;264,32;320,60;274,42
"260800 JATAUBA";123,56;90,37;55,17;97,05;2099,80;-;109,74
"260810 JOAO ALFREDO";133,45;76,74;42,98;106,32;59,49;54,05;114,49
"260820 JOAQUIM NABUCO";82,56;50,53;194,94;89,60;...;...;86,91
"260830 JUPI";83,56;67,17;57,73;70,92;...;86,98;77,34
"260840 JUREMA";73,77;50,51;27,12;64,08;...;35,77;67,18
"260850 LAGOA DE ITAENGA";102,24;69,50;...;85,84;...;90,82;88,82
"260860 LAGOA DO OURO";99,04;37,72;...;69,42;240,92;...;77,82
"260870 LAGOA DOS GATOS";85,43;34,90;85,82;81,60;35,03;...;81,55
"260880 LAJEDO";169,75;79,87;...;137,43;...;...;147,14
"260890 LIMOEIRO";204,19;84,26;...;111,60;...;24,15;139,37
"260900 MACAPARANA";169,58;61,57;112,33;77,75;...;34,05;100,93
"260910 MACHADOS";97,51;54,11;54,55;71,41;...;...;81,35
"260920 MARAIAL";140,93;58,03;...;78,33;...;72,01;94,91
"260930 MIRANDIBA";181,49;56,40;...;58,10;...;39,35;79,95
"260940 MORENO";163,85;101,64;46,94;126,44;43,63;...;132,99
"260950 NAZARE DA MATA";266,51;98,63;...;113,46;...;45,03;150,76
"260960 OLINDA";483,49;195,83;1378,53;239,55;200,39;316,17;328,39
"260970 OROBO";87,11;74,37;43,10;84,05;...;616,85;85,05
"260980 OROCO";142,60;72,55;...;113,86;104,91;95,66;114,35
"260990 OURICURI";105,79;41,75;41,53;75,03;...;28,76;82,10
"261000 PALMARES";210,92;72,83;...;126,15;73,14;168,86;145,13
"261010 PALMEIRINA";106,56;61,99;...;77,35;...;...;84,76
"261020 PANELAS";98,17;62,50;...;79,36;20,43;95,34;87,68
"261030 PARANATAMA";98,99;64,08;...;91,89;...;51,47;93,41
"261040 PARNAMIRIM";99,50;85,17;7,77;63,31;...;211,98;79,15
"261050 PASSIRA";86,22;84,26;181,44;83,27;...;...;84,58
"261060 PAUDALHO";167,30;89,78;...;97,09;119,42;734,58;112,51
"261070 PAULISTA";355,47;183,39;284,00;244,51;260,45;459,72;282,98
"261080 PEDRA";167,25;60,36;143,40;86,26;...;40,31;105,78
"261090 PESQUEIRA";200,62;121,56;275,73;119,48;69,29;52,32;142,42
"261100 PETROLANDIA";172,39;126,84;100,42;138,21;62,05;373,61;147,39
"261110 PETROLINA";315,12;109,07;93,40;172,69;68,48;431,50;223,25
"261120 POCAO";127,04;68,45;158,92;90,57;...;...;105,38
"261130 POMBOS";188,11;68,18;90,34;83,57;...;422,32;123,01
"261140 PRIMAVERA";125,36;67,51;...;69,99;26,14;47,11;82,61
"261150 QUIPAPA";92,68;79,05;...;86,57;...;41,31;87,86
"261160 RECIFE";760,27;246,89;927,42;292,60;877,90;615,80;471,21
"261170 RIACHO DAS ALMAS";125,82;90,26;...;101,16;...;...;112,81
"261180 RIBEIRAO";150,28;61,94;60,55;117,43;57,04;183,99;121,87
"261190 RIO FORMOSO";111,18;79,28;28,14;80,10;...;37,18;83,63
"261200 SAIRE";95,29;84,82;65,99;87,14;...;...;91,75
"261210 SALGADINHO";84,83;56,92;...;63,30;...;...;71,95
"261220 SALGUEIRO";280,74;120,12;...;143,53;...;...;174,32
"261230 SALOA";130,82;52,62;...;139,04;...;...;134,16
"261240 SANHARO";169,41;48,96;...;118,15;...;...;136,52
"261250 SANTA CRUZ DO CAPIBARIBE";282,38;222,16;120,50;239,68;...;336,15;256,00
"261260 SANTA MARIA DA BOA VISTA";163,96;154,80;29,70;133,26;72,43;...;137,28
"261270 SANTA MARIA DO CAMBUCA";82,26;57,90;...;61,72;...;19,82;75,19
"261280 SANTA TEREZINHA";102,72;90,52;70,46;66,37;106,05;...;77,75
"261290 SAO BENEDITO DO SUL";93,24;43,31;33,36;70,65;21,98;92,37;75,12
"261300 SAO BENTO DO UNA";162,33;61,98;57,37;127,81;...;...;140,38
"261310 SAO CAITANO";133,57;72,56;...;93,36;...;30,16;107,33
"261320 SAO JOAO";101,73;62,36;...;86,17;...;...;89,80
"261330 SAO JOAQUIM DO MONTE";97,49;129,37;...;108,15;...;...;103,49
"261340 SAO JOSE DA COROA GRANDE";165,94;67,61;22,02;84,16;...;67,54;94,81
"261350 SAO JOSE DO BELMONTE";100,41;71,90;...;69,61;76,39;89,22;76,57
"261360 SAO JOSE DO EGITO";191,48;125,82;...;120,17;...;73,62;153,05
"261370 SAO LOURENCO DA MATA";185,94;96,96;...;124,41;325,54;132,44;138,39
"261380 SAO VICENTE FERRER";170,13;52,17;...;71,86;...;106,24;105,98
"261390 SERRA TALHADA";229,60;80,85;65,47;124,71;...;168,81;142,61
"261400 SERRITA";109,01;105,44;...;67,14;59,05;41,45;80,11
"261410 SERTANIA";121,75;127,46;...;93,60;...;...;105,79
"261420 SIRINHAEM";109,54;65,70;19,22;70,01;126,64;95,92;77,89
"261430 MOREILANDIA";57,01;55,64;...;48,45;...;...;50,99
"261440 SOLIDAO";34,78;37,83;...;45,13;...;...;39,06
"261450 SURUBIM";144,86;139,94;23,41;106,23;...;43,21;122,82
"261460 TABIRA";147,20;54,40;...;81,33;...;...;110,67
"261470 TACAIMBO";83,05;70,89;...;89,92;57,62;36,08;87,80
"261480 TACARATU";212,89;75,33;...;76,05;55,51;...;98,35
"261500 TAQUARITINGA DO NORTE";194,82;114,57;...;151,16;...;139,58;168,39
"261510 TEREZINHA";72,38;47,30;38,40;63,64;...;15,59;67,72
"261520 TERRA NOVA";185,93;78,27;...;119,12;...;33,58;133,07
"261530 TIMBAUBA";209,50;74,22;41,72;108,76;...;13,00;139,01
"261540 TORITAMA";266,87;115,46;...;258,41;...;341,40;262,27
"261550 TRACUNHAEM";127,30;53,45;85,06;73,78;...;102,88;89,25
"261560 TRINDADE";133,67;129,00;66,87;97,31;...;...;106,76
"261570 TRIUNFO";125,01;69,93;...;88,49;...;-;97,41
"261580 TUPANATINGA";77,08;57,54;...;59,11;15,58;47,49;62,42
"261590 TUPARETAMA";170,53;104,65;33,58;74,13;...;44,41;109,26
"261600 VENTUROSA";137,47;53,95;45,75;91,94;...;...;105,77
"261610 VERDEJANTE";90,88;87,81;...;72,68;...;76,75;75,27
"261620 VERTENTES";117,44;56,69;...;91,59;35,63;-;102,62
"261630 VICENCIA";136,10;52,64;...;76,62;29,02;47,44;95,24
"261640 VITORIA DE SANTO ANTAO";198,79;119,65;...;124,64;...;458,78;150,50
"270010 AGUA BRANCA";61,78;47,23;63,23;63,31;25,52;...;62,34
"270020 ANADIA";154,37;68,11;323,95;80,04;18,13;111,39;90,71
"270030 ARAPIRACA";209,45;120,90;158,48;158,06;39,06;160,25;175,43
"270040 ATALAIA";111,44;66,22;65,69;81,30;34,46;108,99;87,22
"270050 BARRA DE SANTO ANTONIO";76,39;60,21;132,56;67,77;...;...;70,17
"270060 BARRA DE SAO MIGUEL";244,92;71,83;95,51;94,68;...;78,91;122,55
"270070 BATALHA";133,65;93,38;...;105,42;64,39;88,00;114,09
"270080 BELEM";95,32;79,43;29,98;99,40;...;...;96,68
"270090 BELO MONTE";77,63;61,80;...;59,06;...;...;64,32
"270100 BOCA DA MATA";149,72;65,25;...;89,40;...;79,70;99,22
"270110 BRANQUINHA";62,14;60,58;...;59,42;...;...;60,86
"270120 CACIMBINHAS";159,19;73,01;70,12;60,88;...;186,69;95,09
"270130 CAJUEIRO";104,74;68,34;...;83,53;112,01;57,43;86,89
"270140 CAMPO ALEGRE";138,40;141,25;...;100,89;...;316,53;109,69
"270150 CAMPO GRANDE";107,93;35,98;69,35;63,65;...;...;68,80
"270160 CANAPI";95,38;55,15;...;72,85;...;...;75,42
"270170 CAPELA";117,24;78,91;...;66,17;...;...;80,75
"270180 CARNEIROS";79,04;40,80;...;72,08;...;...;74,03
"270190 CHA PRETA";111,07;58,25;86,22;69,36;...;24,80;76,19
"270200 COITE DO NOIA";93,68;36,26;...;68,14;...;51,72;81,53
"270210 COLONIA LEOPOLDINA";88,99;42,70;...;69,15;37,64;98,74;73,30
"270220 COQUEIRO SECO";181,07;73,36;...;114,79;...;...;122,85
"270230 CORURIPE";128,27;99,42;98,40;112,65;43,27;143,94;116,85
"270235 CRAIBAS";81,77;70,16;105,53;74,53;44,87;106,03;76,29
"270240 DELMIRO GOUVEIA";149,51;79,90;...;101,18;76,07;48,35;110,22
"270250 DOIS RIACHOS";97,13;65,60;...;70,02;...;...;75,13
"270260 FEIRA GRANDE";79,35;65,76;...;73,10;16,47;...;75,54
"270270 FELIZ DESERTO";101,78;97,87;...;80,95;...;...;87,08
"270280 FLEXEIRAS";79,76;71,89;...;74,20;...;19,51;75,60
"270290 GIRAU DO PONCIANO";105,25;62,70;52,12;74,35;21,73;69,97;79,69
"270300 IBATEGUARA";75,28;69,41;31,54;72,22;...;...;73,12
"270310 IGACI";81,48;59,26;815,05;67,60;70,32;...;70,88
"270320 IGREJA NOVA";49,09;41,42;50,11;73,81;121,09;...;71,26
"270330 INHAPI";72,49;60,50;...;58,65;...;...;60,89
"270340 JACARE DOS HOMENS";159,41;94,99;...;73,36;146,27;-;96,86
"270350 JACUIPE";109,59;114,39;72,98;85,59;...;...;92,90
"270360 JAPARATINGA";194,25;53,47;...;78,23;...;...;95,46
"270370 JARAMATAIA";60,10;57,62;...;67,72;...;30,96;65,14
"270380 JOAQUIM GOMES";105,46;77,92;51,44;69,49;44,00;...;74,27
"270390 JUNDIA";161,07;84,33;160,07;86,54;25,53;58,68;96,49
"270400 JUNQUEIRO";101,72;92,57;...;83,23;101,12;...;88,81
"270410 LAGOA DA CANOA";80,34;85,85;23,98;74,03;73,91;46,04;76,96
"270420 LIMOEIRO DE ANADIA";87,72;61,83;...;66,27;...;64,09;72,12
"270430 MACEIO";552,42;219,24;589,46;265,43;212,23;245,45;369,28
"270440 MAJOR ISIDORO";104,78;97,25;-;89,79;52,72;105,19;92,91
"270450 MARAGOGI";154,42;126,56;...;77,24;...;...;83,97
"270460 MARAVILHA";96,37;25,50;43,51;61,27;...;...;66,06
"270470 MARECHAL DEODORO";153,69;71,41;...;92,94;...;139,16;107,06
"270480 MARIBONDO";179,27;121,88;...;90,84;-;287,53;116,40
"270490 MAR VERMELHO";106,83;43,56;...;65,14;...;...;76,21
"270500 MATA GRANDE";79,90;52,93;...;57,16;...;36,10;66,47
"270510 MATRIZ DE CAMARAGIBE";98,34;150,17;115,13;70,76;...;18,22;77,22
"270520 MESSIAS";149,29;87,07;...;114,41;...;...;116,87
"270530 MINADOR DO NEGRAO";86,15;48,63;24,58;80,48;...;...;81,41
"270540 MONTEIROPOLIS";59,92;55,76;...;61,34;...;607,17;61,40
"270550 MURICI";112,26;116,19;...;79,48;...;108,61;88,20
"270560 NOVO LINO";207,67;52,88;...;116,54;...;...;133,60
"270570 OLHO D'AGUA DAS FLORES";186,51;150,16;35,94;84,65;...;76,74;114,81
"270580 OLHO D'AGUA DO CASADO";194,57;60,98;...;87,08;12,00;...;107,01
"270590 OLHO D'AGUA GRANDE";53,38;67,76;...;61,45;...;...;59,30
"270600 OLIVENCA";63,97;55,77;66,63;53,51;...;42,32;55,73
"270610 OURO BRANCO";83,36;22,83;8,46;60,19;75,96;28,51;63,34
"270620 PALESTINA";96,70;23,87;...;65,74;...;48,95;67,26
"270630 PALMEIRA DOS INDIOS";167,32;143,88;74,91;114,36;70,64;...;133,23
"270640 PAO DE ACUCAR";119,13;169,58;...;111,63;...;41,84;114,58
"270650 PASSO DE CAMARAGIBE";91,05;85,14;92,63;73,79;148,33;108,23;77,32
"270660 PAULO JACINTO";87,61;44,81;38,13;53,55;...;...;61,63
"270670 PENEDO";239,88;150,56;115,53;128,46;63,54;24,09;153,38
"270680 PIACABUCU";150,86;93,68;22,89;108,60;...;...;117,37
"270690 PILAR";132,02;62,91;49,20;114,07;...;103,89;116,29
"270700 PINDOBA";169,83;33,17;...;73,22;...;33,12;98,38
"270710 PIRANHAS";278,04;128,49;69,24;157,98;...;12,09;193,85
"270720 POCO DAS TRINCHEIRAS";54,76;40,14;52,08;51,61;...;...;52,04
"270730 PORTO CALVO";183,66;64,23;...;103,57;...;...;118,86
"270740 PORTO DE PEDRAS";104,88;60,96;...;66,80;...;...;69,35
"270750 PORTO REAL DO COLEGIO";99,22;83,41;46,56;67,84;77,59;...;76,69
"270760 QUEBRANGULO";144,56;61,98;...;76,71;...;113,54;92,80
"270770 RIO LARGO";159,07;108,18;19,39;127,27;101,69;77,61;133,87
"270780 ROTEIRO";104,38;102,55;...;83,02;...;96,05;86,20
"270790 SANTA LUZIA DO NORTE";158,27;110,39;...;110,84;...;51,44;120,62
"270800 SANTANA DO IPANEMA";120,89;60,16;...;86,43;...;38,47;97,20
"270810 SANTANA DO MUNDAU";100,74;72,69;...;75,04;...;134,47;82,96
"270820 SAO BRAS";72,05;100,28;...;77,16;...;...;77,17
"270830 SAO JOSE DA LAJE";141,07;80,90;...;84,68;49,39;33,02;97,96
"270840 SAO JOSE DA TAPERA";71,13;45,17;13,22;46,41;...;70,05;49,32
"270850 SAO LUIS DO QUITUNDE";134,36;71,02;22,92;89,57;61,49;154,73;93,92
"270860 SAO MIGUEL DOS CAMPOS";250,74;85,74;82,33;97,88;107,10;55,66;127,22
"270870 SAO MIGUEL DOS MILAGRES";120,89;76,67;...;72,10;...;...;80,07
"270880 SAO SEBASTIAO";84,23;69,89;...;67,40;50,43;116,96;73,52
"270890 SATUBA";194,60;88,43;...;133,64;...;73,06;147,33
"270895 SENADOR RUI PALMEIRA";53,68;69,77;3,92;56,17;...;38,10;55,78
"270900 TANQUE D'ARCA";76,73;64,54;40,23;72,55;...;68,57;73,28
"270910 TAQUARANA";96,91;102,10;...;64,02;...;...;76,27
"270915 TEOTONIO VILELA";109,68;103,90;...;89,10;...;88,12;96,17
"270920 TRAIPU";52,73;23,69;...;47,93;...;14,84;47,89
"270930 UNIAO DOS PALMARES";117,44;99,07;...;108,19;40,86;15,98;110,94
"270940 VICOSA";169,76;90,26;...;89,19;...;100,00;108,22
"280010 AMPARO DE SAO FRANCISCO";93,39;...;...;66,57;...;30,04;72,14
"280020 AQUIDABA";140,04;58,65;...;88,04;51,74;32,16;108,72
"280030 ARACAJU";619,71;309,90;654,33;313,20;1192,43;460,61;412,30
"280040 ARAUA";146,97;59,78;...;95,10;108,31;...;100,01
"280050 AREIA BRANCA";140,32;95,44;...;97,11;...;...;110,16
"280060 BARRA DOS COQUEIROS";197,71;272,89;131,36;157,62;...;124,19;164,03
"280067 BOQUIM";240,08;137,27;1187,87;143,60;...;...;166,97
"280070 BREJO GRANDE";94,64;81,10;103,67;79,10;106,93;76,50;82,50
"280100 CAMPO DO BRITO";128,93;83,45;...;135,00;...;90,44;127,81
"280110 CANHOBA";136,36;33,31;...;71,95;...;37,26;91,50
"280120 CANINDE DE SAO FRANCISCO";107,34;70,02;106,36;93,15;...;82,18;97,30
"280130 CAPELA";160,52;111,85;...;109,39;...;19,38;116,80
"280140 CARIRA";137,90;83,46;...;134,61;...;77,96;133,94
"280150 CARMOPOLIS";222,95;93,17;49,20;133,23;...;92,21;148,55
"280160 CEDRO DE SAO JOAO";170,72;115,90;...;124,11;99,02;126,14;139,92
"280170 CRISTINAPOLIS";93,80;66,89;58,45;99,64;...;...;96,48
"280190 CUMBE";103,17;106,19;...;88,32;...;...;92,15
"280200 DIVINA PASTORA";128,43;61,03;...;83,69;24,84;175,54;91,44
"280210 ESTANCIA";215,47;98,38;115,83;130,49;...;356,71;147,68
"280220 FEIRA NOVA";111,90;101,98;...;70,59;...;...;84,38
"280230 FREI PAULO";161,25;75,68;57,19;106,84;...;128,61;118,09
"280240 GARARU";125,58;67,82;47,01;64,51;16,16;69,53;83,21
"280250 GENERAL MAYNARD";114,20;75,89;...;91,85;...;...;97,43
"280260 GRACHO CARDOSO";105,20;82,18;...;75,11;...;15,37;84,11
"280270 ILHA DAS FLORES";76,11;62,52;...;56,41;...;86,92;61,66
"280280 INDIAROBA";147,98;62,61;...;71,62;...;...;78,75
"280290 ITABAIANA";194,48;121,08;958,92;174,22;...;169,53;181,99
"280300 ITABAIANINHA";93,38;61,21;...;85,09;115,65;66,91;86,22
"280310 ITABI";120,09;73,02;...;107,99;...;...;112,04
"280320 ITAPORANGA D'AJUDA";123,67;65,23;95,47;69,45;...;...;74,72
"280330 JAPARATUBA";211,85;76,82;...;110,77;...;...;115,09
"280340 JAPOATA";103,55;81,53;...;70,84;394,11;15,18;81,40
"280350 LAGARTO";197,37;131,14;164,28;117,63;16,43;27,46;142,07
"280360 LARANJEIRAS";138,08;96,03;...;102,98;...;...;107,59
"280370 MACAMBIRA";133,19;79,31;62,84;87,94;...;51,41;95,97
"280380 MALHADA DOS BOIS";157,43;48,17;35,64;82,05;...;...;94,71
"280390 MALHADOR";143,35;77,27;...;108,33;...;57,35;117,45
"280400 MARUIM";95,80;102,55;78,57;106,16;22,75;232,25;104,86
"280410 MOITA BONITA";111,46;68,62;...;104,81;101,52;48,41;107,00
"280420 MONTE ALEGRE DE SERGIPE";93,29;43,13;...;66,44;...;92,43;75,92
"280430 MURIBECA";126,34;60,08;...;76,72;...;39,12;84,32
"280440 NEOPOLIS";153,26;74,17;42,61;97,35;...;...;105,66
"280445 NOSSA SENHORA APARECIDA";98,52;51,48;...;90,81;...;68,97;94,53
"280450 NOSSA SENHORA DA GLORIA";139,04;187,75;23,06;92,51;119,13;117,63;112,73
"280460 NOSSA SENHORA DAS DORES";162,27;148,22;39,50;112,21;21,04;...;125,58
"280470 NOSSA SENHORA DE LOURDES";195,46;107,67;59,64;113,48;...;...;133,54
"280480 NOSSA SENHORA DO SOCORRO";157,67;66,84;70,22;122,50;144,38;118,01;124,79
"280490 PACATUBA";62,29;45,29;94,83;75,97;...;34,17;74,11
"280500 PEDRA MOLE";76,12;76,31;...;81,93;...;...;81,21
"280510 PEDRINHAS";136,87;116,06;69,13;110,42;...;116,36;116,12
"280520 PINHAO";98,42;64,88;...;90,59;...;69,44;91,81
"280530 PIRAMBU";149,45;180,25;...;96,39;...;...;102,44
"280540 POCO REDONDO";97,67;43,15;...;64,80;49,40;...;70,71
"280550 POCO VERDE";110,43;76,84;...;76,19;...;111,55;86,88
"280560 PORTO DA FOLHA";89,90;43,34;...;68,48;58,79;56,95;76,64
"280570 PROPRIA";178,10;68,95;...;145,76;...;234,89;152,42
"280580 RIACHAO DO DANTAS";115,93;99,23;...;85,88;...;...;89,96
"280590 RIACHUELO";132,30;117,60;...;103,98;253,12;312,76;109,09
"280600 RIBEIROPOLIS";138,43;76,11;549,13;104,63;...;...;124,65
"280610 ROSARIO DO CATETE";183,34;107,95;...;129,96;...;30,04;131,62
"280620 SALGADO";160,44;77,74;...;83,36;...;45,20;100,05
"280630 SANTA LUZIA DO ITANHY";128,75;52,91;...;62,89;...;54,45;69,82
"280650 SANTA ROSA DE LIMA";92,05;57,92;...;86,55;...;137,42;86,47
"280660 SANTO AMARO DAS BROTAS";112,55;69,96;...;74,57;...;48,32;79,89
"280670 SAO CRISTOVAO";182,36;101,12;112,23;125,79;91,19;50,40;132,15
"280680 SAO DOMINGOS";125,29;90,88;45,74;103,30;...;61,76;108,71
"280690 SAO FRANCISCO";137,94;62,43;...;130,04;...;442,68;128,87
"280700 SAO MIGUEL DO ALEIXO";204,76;136,37;...;94,15;...;...;97,41
"280710 SIMAO DIAS";146,05;95,41;193,25;99,23;...;51,20;111,04
"280720 SIRIRI";174,13;90,98;...;78,89;...;164,60;97,17
"280730 TELHA";106,61;79,61;...;58,53;...;...;78,93
"280740 TOBIAS BARRETO";129,76;101,55;49,73;118,44;...;62,87;120,47
"280750 TOMAR DO GERU";89,78;58,66;...;83,02;...;...;83,50
"280760 UMBAUBA";208,12;105,16;...;141,32;...;50,08;146,98
"290010 ABAIRA";109,00;106,90;...;112,70;...;69,58;109,51
"290020 ABARE";153,88;111,93;...;99,43;70,21;126,91;109,25
"290030 ACAJUTIBA";188,43;73,93;...;94,01;...;31,74;104,59
"290035 ADUSTINA";70,53;93,63;...;87,83;...;31,15;86,37
"290040 AGUA FRIA";55,99;71,82;...;56,36;...;51,48;57,39
"290050 ERICO CARDOSO";116,26;73,54;147,96;75,86;...;51,77;90,52
"290060 AIQUARA";161,12;84,00;171,71;105,21;...;31,71;98,91
"290070 ALAGOINHAS";322,58;141,36;248,11;203,89;-;84,72;214,68
"290080 ALCOBACA";201,19;83,67;221,95;119,14;71,78;83,76;123,28
"290090 ALMADINA";81,51;48,48;...;56,00;...;58,99;60,27
"290100 AMARGOSA";189,72;81,36;51,48;105,05;253,46;36,16;120,01
"290110 AMELIA RODRIGUES";231,21;87,65;...;127,06;...;117,73;124,86
"290115 AMERICA DOURADA";116,56;60,42;34,73;89,16;...;97,20;90,00
"290120 ANAGE";66,64;68,33;...;69,01;...;74,22;68,37
"290130 ANDARAI";237,44;67,88;31,15;127,26;103,71;51,10;122,88
"290135 ANDORINHA";133,89;79,13;...;75,52;41,80;...;86,24
"290140 ANGICAL";121,72;80,51;294,31;83,82;...;84,27;91,45
"290150 ANGUERA";91,35;50,22;69,28;70,15;206,46;...;70,50
"290160 ANTAS";131,05;62,23;...;82,81;8,59;64,66;99,14
"290170 ANTONIO CARDOSO";71,59;44,04;...;60,78;...;68,74;57,46
"290180 ANTONIO GONCALVES";107,44;52,46;...;68,25;...;154,54;73,11
"290190 APORA";127,90;49,59;87,77;78,14;82,98;164,94;84,70
"290195 APUAREMA";156,32;61,58;...;56,52;...;70,41;69,63
"290200 ARACATU";56,85;39,75;...;48,12;...;22,29;52,26
"290205 ARACAS";163,19;62,31;34,79;78,11;...;...;80,06
"290210 ARACI";94,49;55,92;...;56,73;...;36,03;63,15
"290220 ARAMARI";121,07;67,14;36,63;103,30;...;11,95;91,82
"290225 ARATACA";62,63;50,75;41,52;65,10;47,42;43,09;63,81
"290230 ARATUIPE";221,56;65,83;...;93,58;...;76,80;94,40
"290240 AURELINO LEAL";86,43;95,60;...;74,77;...;73,75;77,74
"290250 BAIANOPOLIS";82,91;44,71;...;64,29;...;40,42;69,65
"290260 BAIXA GRANDE";68,44;68,56;35,41;59,69;...;53,91;61,37
"290265 BANZAE";89,02;73,11;...;75,78;80,84;116,81;80,73
