Município,Renda média domic. per capita,Ano
170765 FIGUEIROPOLIS,"152,6",1991
170770 FILADELFIA,"106,2",1991
170820 FORMOSO DO ARAGUAIA,"150,76",1991
170830 GOIANORTE,"143,49",1991
170900 GOIATINS,"96,96",1991
170930 GUARAI,"211,99",1991
170950 GURUPI,"383,43",1991
171050 ITACAJA,"80,89",1991
171070 ITAGUATINS,"90,39",1991
171110 ITAPORA DO TOCANTINS,"123,88",1991
171240 LIZARDA,"106,26",1991
171250 MARIANOPOLIS DO TOCANTINS,"118,12",1991
171320 MIRACEMA DO TOCANTINS,"372,57",1991
171330 MIRANORTE,"252,44",1991
171360 MONTE DO CARMO,"123,15",1991
171420 NATIVIDADE,"128,62",1991
171430 NAZARE,"70,9",1991
171488 NOVA OLINDA,"143,12",1991
171500 NOVA ROSALANDIA,"144,57",1991
171510 NOVO ACORDO,"86,17",1991
171575 PALMEIROPOLIS,"209,49",1991
171610 PARAISO DO TOCANTINS,"411,32",1991
171620 PARANA,"115,95",1991
171650 PEDRO AFONSO,"167,81",1991
171660 PEIXE,"122,87",1991
171665 PEQUIZEIRO,"124,02",1991
171670 COLMEIA,"178,83",1991
171700 PINDORAMA DO TOCANTINS,"129,35",1991
171750 PIUM,"149,63",1991
171780 PONTE ALTA DO BOM JESUS,"86,2",1991
171790 PONTE ALTA DO TOCANTINS,"97,09",1991
171800 PORTO ALEGRE DO TOCANTINS,"104,5",1991
171820 PORTO NACIONAL,"240,32",1991
171830 PRAIA NORTE,"88,57",1991
171840 PRESIDENTE KENNEDY,"150,08",1991
171875 RIO SONO,"108,11",1991
171880 SAMPAIO,"44,48",1991
171890 SANTA ROSA DO TOCANTINS,"114,46",1991
171900 SANTA TEREZA DO TOCANTINS,"82,05",1991
172030 SAO SEBASTIAO DO TOCANTINS,"87,07",1991
172049 SAO VALERIO,"127,32",1991
172065 SILVANOPOLIS,"126,84",1991
172080 SITIO NOVO DO TOCANTINS,"76,68",1991
172090 TAGUATINGA,"110,39",1991
172100 PALMAS,"383,52",1991
172110 TOCANTINIA,"176,34",1991
172120 TOCANTINOPOLIS,"130,89",1991
172208 WANDERLANDIA,"125,4",1991
172210 XAMBIOA,"159,1",1991
210005 ACAILANDIA,"183,98",1991
210010 AFONSO CUNHA,"54,12",1991
210020 ALCANTARA,"86,88",1991
210030 ALDEIAS ALTAS,"74,78",1991
210040 ALTAMIRA DO MARANHAO,"68,91",1991
210050 ALTO PARNAIBA,"115,54",1991
210060 AMARANTE DO MARANHAO,"97,28",1991
210070 ANAJATUBA,"67,33",1991
210080 ANAPURUS,"71,05",1991
210090 ARAIOSES,"68,65",1991
210095 ARAME,"74,22",1991
210100 ARARI,"93,97",1991
210110 AXIXA,"82,76",1991
210120 BACABAL,"112,56",1991
210130 BACURI,"66,14",1991
210140 BALSAS,"112,93",1991
210150 BARAO DE GRAJAU,"73,58",1991
210160 BARRA DO CORDA,"70,66",1991
210170 BARREIRINHAS,"58,25",1991
210180 BENEDITO LEITE,"76,99",1991
210190 BEQUIMAO,"53,64",1991
210200 BOM JARDIM,"79,6",1991
210210 BREJO,"79,32",1991
210220 BURITI,"81,81",1991
210230 BURITI BRAVO,"87,32",1991
210240 CAJAPIO,"54,87",1991
210250 CAJARI,"58,28",1991
210260 CANDIDO MENDES,"77,38",1991
210270 CANTANHEDE,"56,9",1991
210280 CAROLINA,"113,09",1991
210290 CARUTAPERA,"74,55",1991
210300 CAXIAS,"103,51",1991
210310 CEDRAL,"91,02",1991
210320 CHAPADINHA,"101,8",1991
210330 CODO,"92,08",1991
210340 COELHO NETO,"113,28",1991
210350 COLINAS,"115,97",1991
210360 COROATA,"72,25",1991
210370 CURURUPU,"79,49",1991
210380 DOM PEDRO,"136,4",1991
210390 DUQUE BACELAR,"62,49",1991
210400 ESPERANTINOPOLIS,"80,63",1991
210405 ESTREITO,"128,47",1991
210410 FORTALEZA DOS NOGUEIRAS,"57,32",1991
210420 FORTUNA,"64,97",1991
210430 GODOFREDO VIANA,"93,59",1991
210440 GONCALVES DIAS,"149,59",1991
210450 GOVERNADOR ARCHER,"102,28",1991
210460 GOVERNADOR EUGENIO BARROS,"62,91",1991
210470 GRACA ARANHA,"67,23",1991
210480 GRAJAU,"97,69",1991
210490 GUIMARAES,"74,97",1991
210500 HUMBERTO DE CAMPOS,"65,63",1991
210510 ICATU,"49,37",1991
210520 IGARAPE GRANDE,"74,91",1991
210530 IMPERATRIZ,"192,36",1991
210540 ITAPECURU MIRIM,"81,24",1991
210550 JOAO LISBOA,"79,19",1991
210560 JOSELANDIA,"70,95",1991
210570 LAGO DA PEDRA,"75,58",1991
210580 LAGO DO JUNCO,"95,26",1991
210590 LAGO VERDE,"60,44",1991
210600 LIMA CAMPOS,"104,98",1991
210610 LORETO,"56,02",1991
210620 LUIS DOMINGUES,"98,12",1991
210630 MAGALHAES DE ALMEIDA,"54,08",1991
210640 MATA ROMA,"47,49",1991
210650 MATINHA,"52,29",1991
210660 MATOES,"64,76",1991
210670 MIRADOR,"58,72",1991
210675 MIRANDA DO NORTE,"102,5",1991
210680 MIRINZAL,"84,84",1991
210690 MONCAO,"75,08",1991
210700 MONTES ALTOS,"80,2",1991
210710 MORROS,"76,43",1991
210720 NINA RODRIGUES,"50,29",1991
210730 NOVA IORQUE,"50,48",1991
210740 OLHO D'AGUA DAS CUNHAS,"83,73",1991
210750 PACO DO LUMIAR,"159,35",1991
210760 PALMEIRANDIA,"50,69",1991
210770 PARAIBANO,"105,19",1991
210780 PARNARAMA,"63,84",1991
210790 PASSAGEM FRANCA,"72,39",1991
210800 PASTOS BONS,"66,86",1991
210810 PAULO RAMOS,"98,28",1991
210820 PEDREIRAS,"125,36",1991
210830 PENALVA,"66,79",1991
210840 PERI MIRIM,"80,31",1991
210850 PINDARE-MIRIM,"92,98",1991
210860 PINHEIRO,"80,26",1991
210870 PIO XII,"73,93",1991
210880 PIRAPEMAS,"55,76",1991
210890 POCAO DE PEDRAS,"71,22",1991
210900 PORTO FRANCO,"99,94",1991
210910 PRESIDENTE DUTRA,"106,3",1991
210920 PRESIDENTE JUSCELINO,"68,16",1991
210930 PRESIDENTE VARGAS,"47,52",1991
210940 PRIMEIRA CRUZ,"69,47",1991
210950 RIACHAO,"55,33",1991
210960 ROSARIO,"85,25",1991
210970 SAMBAIBA,"89,13",1991
210980 SANTA HELENA,"83,24",1991
210990 SANTA INES,"132,34",1991
211000 SANTA LUZIA,"80,52",1991
211003 SANTA LUZIA DO PARUA,"71,63",1991
211010 SANTA QUITERIA DO MARANHAO,"73,85",1991
211020 SANTA RITA,"63,59",1991
211030 SANTO ANTONIO DOS LOPES,"89,24",1991
211040 SAO BENEDITO DO RIO PRETO,"42,67",1991
211050 SAO BENTO,"89,63",1991
211060 SAO BERNARDO,"62,94",1991
211070 SAO DOMINGOS DO MARANHAO,"78,26",1991
211080 SAO FELIX DE BALSAS,"48,65",1991
211090 SAO FRANCISCO DO MARANHAO,"75,73",1991
211100 SAO JOAO BATISTA,"56,12",1991
211110 SAO JOAO DOS PATOS,"94,6",1991
211120 SAO JOSE DE RIBAMAR,"125,8",1991
211130 SAO LUIS,"297,83",1991
211140 SAO LUIS GONZAGA DO MARANHAO,"95,78",1991
211150 SAO MATEUS DO MARANHAO,"80,36",1991
211160 SAO RAIMUNDO DAS MANGABEIRAS,"91,44",1991
211170 SAO VICENTE FERRER,"59,98",1991
211180 SITIO NOVO,"74,89",1991
211190 SUCUPIRA DO NORTE,"53,52",1991
211200 TASSO FRAGOSO,"44,35",1991
211210 TIMBIRAS,"60,8",1991
211220 TIMON,"116,22",1991
211230 TUNTUM,"76,11",1991
211240 TURIACU,"77,59",1991
211250 TUTOIA,"67,97",1991
211260 URBANO SANTOS,"65,7",1991
211270 VARGEM GRANDE,"59,22",1991
211280 VIANA,"66,71",1991
211290 VITORIA DO MEARIM,"69,37",1991
