Município,Branca,Preta,Amarela,Parda,Indígena,Sem declaração,Total,Ano
412300 SALTO DO LONTRA,"395,65","151,19","136,08","151,37","228,99","403,25","352,37",2000
412310 SANTA AMELIA,"374,3","177,04","1323,8","213,83","149,25",...,"351,95",2000
412320 SANTA CECILIA DO PAVAO,"272,66","197,42","1448,3","224,02","94,71","134,12","282,32",2000
412330 SANTA CRUZ DE MONTE CASTELO,"443,77","241,16","646,47","249,45",...,"189,1","376,32",2000
412340 SANTA FE,"559,27","244,15","914,47","290,33","505,8",...,"476,82",2000
412350 SANTA HELENA,"547,26","143,31","1688,72","244,36","121,8","243,99","509,55",2000
412360 SANTA INES,"408,95","359,02",...,"260,68",...,"334,09","357,3",2000
412370 SANTA ISABEL DO IVAI,"423,07","240,06","2659,37","259,18","324,48","338,62","403,49",2000
412380 SANTA IZABEL DO OESTE,"434,89","151,86","338,3","268,99","174,99","5347,96","406,52",2000
412382 SANTA LUCIA,"422,32","293,38",-,"212,57","81,5","695,86","378,84",2000
412385 SANTA MARIA DO OESTE,"205,95","92,48","192,96","173,05","104,33","286,1","194,09",2000
412390 SANTA MARIANA,"462,01","282,79","1184,75","253,22","223,6","215,66","400,4",2000
412395 SANTA MONICA,"256,44","144,86","1256,03","245,51","134,5",...,"249,75",2000
412400 SANTANA DO ITARARE,"333,28","206,8","469,23","228,44","248,57","627,55","325,66",2000
412402 SANTA TEREZA DO OESTE,"367,65","178,82","1178,76","263,9","322,58","248,2","345,53",2000
412405 SANTA TEREZINHA DE ITAIPU,"615,25","279,48","820,57","235,59",...,"248,24","521,29",2000
412410 SANTO ANTONIO DA PLATINA,"535,23","207,83","470,96","246,14","455,81","354,16","475,2",2000
412420 SANTO ANTONIO DO CAIUA,"382,47","243,06",...,"228,93",...,"563,64","306,16",2000
412430 SANTO ANTONIO DO PARAISO,"355,35","191,31","1089,37","170,49",...,...,"338,99",2000
412440 SANTO ANTONIO DO SUDOESTE,"364,51","166,9","223,49","186,79","181,45","232,36","330,55",2000
412450 SANTO INACIO,"548,4","337,95","1088,93","289,68",...,"300,23","428,05",2000
412460 SAO CARLOS DO IVAI,"449,51","238,96","2121,47","281,12","372,82","228,44","392,68",2000
412470 SAO JERONIMO DA SERRA,"306,31","193,41","2617,23","177,7","124,24","220,99","290,05",2000
412480 SAO JOAO,"492,64","313,62","184,11","322,49","209,46","332,67","472,64",2000
412490 SAO JOAO DO CAIUA,"408,76","193,19",...,"254,74","192,97",...,"323,25",2000
412500 SAO JOAO DO IVAI,"374,44","182,25",600,"242,17","173,87","57,86","329,73",2000
412510 SAO JOAO DO TRIUNFO,"280,03","170,72","140,24","158,54","86,23","104,24","257,92",2000
412520 SAO JORGE D'OESTE,"470,14","176,14",...,"280,74",...,"530,71","423,19",2000
412530 SAO JORGE DO IVAI,"566,41",300,"1701,05","264,85",...,...,"546,13",2000
412535 SAO JORGE DO PATROCINIO,"358,62","127,09","119,23","202,35","99,68","157,13","309,29",2000
412540 SAO JOSE DA BOA VISTA,"298,82","195,39","293,04","173,69","445,35","333,17","284,59",2000
412545 SAO JOSE DAS PALMEIRAS,"379,3","163,36","136,18","201,55","117,12",...,"301,35",2000
412550 SAO JOSE DOS PINHAIS,"632,24","557,33","1570,49","471,84","573,28","492,56","611,82",2000
412555 SAO MANOEL DO PARANA,"375,39","480,6",...,"216,81",...,"255,23","339,96",2000
412560 SAO MATEUS DO SUL,"520,63","201,08","3313,66","284,22","264,93","287,72","495,22",2000
412570 SAO MIGUEL DO IGUACU,"706,78","203,33","113,9","235,02","88,08","90,91","611,74",2000
412575 SAO PEDRO DO IGUACU,"330,74","254,81","1355,04","191,6",...,"100,64","283,39",2000
412580 SAO PEDRO DO IVAI,"488,01","213,78","1581,9","223,04","329,59","439,23","440,68",2000
412590 SAO PEDRO DO PARANA,"417,02","117,2","2009,78","245,28",...,"179,69","346,56",2000
412600 SAO SEBASTIAO DA AMOREIRA,"350,64","231,31","906,93","216,82","325,86","390,49","344,13",2000
412610 SAO TOME,"409,14","196,9",...,"224,46",...,...,"371,43",2000
412620 SAPOPEMA,"253,28","153,9","841,13","242,43","146,92",442,"249,67",2000
412625 SARANDI,"404,17","272,74","353,2","291,63","415,03","358,59","367,82",2000
412627 SAUDADE DO IGUACU,"716,21","137,91",...,"434,74","1093,3","170,66","628,93",2000
412630 SENGES,"597,16","1022,55",...,"277,52","108,78",306,"535,26",2000
412635 SERRANOPOLIS DO IGUACU,"561,45","201,6",...,"310,94","242,25",...,"543,81",2000
412640 SERTANEJA,"495,68","257,42","1023,8","335,37","378,68","506,72","484,58",2000
412650 SERTANOPOLIS,"675,29","307,7","306,11","574,08","178,57","217,77","641,84",2000
412660 SIQUEIRA CAMPOS,"411,2","442,99","653,24","322,15","252,34","580,34","408,29",2000
412665 SULINA,"411,91",...,...,"122,97",...,"234,5","389,68",2000
412667 TAMARANA,"365,05","307,95","880,39","250,79","108,87","173,19","328,34",2000
412670 TAMBOARA,"413,29","235,5","3028,32","264,31",...,"200,33","379,67",2000
412680 TAPEJARA,"463,73","215,73","1384,6","269,71","150,43","239,36","391,74",2000
412690 TAPIRA,"361,42","268,81","879,87","266,99","204,04","170,49","335,13",2000
412700 TEIXEIRA SOARES,"401,32","163,69","150,7","244,39",-,"129,56","365,17",2000
412710 TELEMACO BORBA,"579,83","300,47","1636,15","360,26","433,4","293,78","541,34",2000
412720 TERRA BOA,"433,26","208,84","757,82","240,17","176,59","280,02","384,21",2000
412730 TERRA RICA,"527,21","309,27","968,78","271,95","374,99","103,84","437,67",2000
412740 TERRA ROXA,"441,52","246,72","493,06","316,32","191,77","256,99","401,12",2000
412750 TIBAGI,"333,19","284,68","289,79","178,27","207,98","201,97","304,23",2000
412760 TIJUCAS DO SUL,"350,69","245,91","375,58","226,27","327,79","711,78","330,95",2000
412770 TOLEDO,"675,27","272,63","1659,63","324,09","360,82","631,16","608,54",2000
412780 TOMAZINA,"391,42","239,18","444,1","228,65","130,93","319,13","362,61",2000
412785 TRES BARRAS DO PARANA,"409,47","165,44",...,"204,58","91,6","259,58","365,07",2000
412788 TUNAS DO PARANA,"363,46",-,...,"263,5",...,"241,32","342,54",2000
412790 TUNEIRAS DO OESTE,"332,19","209,11","1036,83","265,83",...,"291,55","305,29",2000
412795 TUPASSI,"588,95","201,06","704,74","243,07","228,69",...,"525,9",2000
412796 TURVO,"271,54","95,27","388,6","164,07","106,22","169,6","245,89",2000
412800 UBIRATA,"387,87","194,28","1504,95","242,49","227,55","98,24","369,38",2000
412810 UMUARAMA,"662,64","350,52","1605,78","381,32","252,1","716,92","616,83",2000
412820 UNIAO DA VITORIA,"624,27","265,34","403,98",313,"256,63","504,04","562,69",2000
412830 UNIFLOR,"382,85","373,09","704,14","233,82",...,"225,84","350,55",2000
412840 URAI,"464,7","215,27","921,21","274,44","233,37","188,74","434,57",2000
412850 WENCESLAU BRAZ,"465,37","316,49","1411,01","285,03","290,07","325,06","443,03",2000
412853 VENTANIA,"364,1","145,57","1499,6","253,42",...,"224,34","337,06",2000
412855 VERA CRUZ DO OESTE,"464,23","180,08","1379,83","205,14","133,65","244,91","384,84",2000
412860 VERE,"474,56","167,04","186,57","335,51","287,51","1332,81","428,66",2000
412862 ALTO PARAISO,"338,51","181,96",...,"247,13","135,31","190,51","277,95",2000
412863 DOUTOR ULYSSES,"157,05","149,49","52,25","162,45",...,"107,79","157,54",2000
412865 VIRMOND,"414,74","126,61","142,75","117,95","84,76","199,37","353,81",2000
412870 VITORINO,"492,8","342,37","203,35","161,62",...,"210,63","446,55",2000
412880 XAMBRE,"379,73","180,06",567,"264,77",...,"292,41","351,65",2000
420005 ABDON BATISTA,"318,6","52,5",...,"153,22",...,"231,27","302,99",2000
420010 ABELARDO LUZ,"546,01","189,3",...,"262,84","63,17","145,8","489,89",2000
420020 AGROLANDIA,"418,25","198,98",...,"285,29","286,23",...,"412,73",2000
420030 AGRONOMICA,"522,15","335,4",...,"206,54",...,...,"515,24",2000
420040 AGUA DOCE,"675,59","155,73","163,18","225,4","272,55","337,58","579,36",2000
420050 AGUAS DE CHAPECO,"586,5","243,37",...,"249,26",...,"383,62","525,31",2000
420055 AGUAS FRIAS,"569,46","149,32",...,"192,24","306,85","267,21",495,2000
420060 AGUAS MORNAS,"400,81","586,92",...,"227,29",...,"165,71","400,23",2000
420070 ALFREDO WAGNER,"528,83","393,65","673,17","212,04","23,46","2381,3","524,32",2000
420075 ALTO BELA VISTA,"395,81",197,...,"366,98",...,...,"393,09",2000
420080 ANCHIETA,"311,85","127,86",...,"140,2",...,...,"281,59",2000
420090 ANGELINA,"335,73",...,...,"285,2",...,"198,3","334,92",2000
420100 ANITA GARIBALDI,"331,32","173,64","287,13","240,08",...,"234,37","308,54",2000
420110 ANITAPOLIS,"478,1","106,54",...,"292,68",...,"195,56","472,02",2000
420120 ANTONIO CARLOS,"600,22","325,92",...,"354,98",...,"502,99","595,82",2000
420125 APIUNA,"480,44","190,44",...,"425,98","300,32","932,07","478,23",2000
420127 ARABUTA,"644,82","156,05",...,"367,69",...,"300,87","628,94",2000
420130 ARAQUARI,"374,72","256,85","77,85","266,99","167,99","338,58","360,91",2000
420140 ARARANGUA,"581,46","495,15","1414,21","375,75","213,67","350,75","570,28",2000
420150 ARMAZEM,"557,12","113,96",...,"390,12","260,95","206,01","547,28",2000
420160 ARROIO TRINTA,"532,78","124,86",...,"142,6",...,...,"496,24",2000
420165 ARVOREDO,"430,25","112,2","92,47","128,99","109,02",...,"390,26",2000
420170 ASCURRA,"550,55","966,47","665,4","406,5","310,25","427,19","540,68",2000
420180 ATALANTA,"563,6","219,71",...,"295,75",...,"572,3","543,59",2000
420190 AURORA,"543,13","163,15",...,"161,56","140,58","456,41","540,12",2000
420195 BALNEARIO ARROIO DO SILVA,"494,96","598,29",...,"196,6","741,53","714,71","487,77",2000
420200 BALNEARIO CAMBORIU,"1368,35","568,68","2467,91",591,"599,62","969,22","1318,69",2000
420205 BALNEARIO BARRA DO SUL,"497,83","319,17","888,47","383,74","258,91","246,02","482,41",2000
420207 BALNEARIO GAIVOTA,"418,65","291,51",...,"444,63","18,97","379,73","416,88",2000
420208 BANDEIRANTE,"392,52","72,9","54,26","103,73",...,"74,7","365,24",2000
420209 BARRA BONITA,"298,4","179,33",...,"264,59",...,...,"290,25",2000
420210 BARRA VELHA,"569,53","405,31","710,82","342,01","225,29","270,85","534,42",2000
420213 BELA VISTA DO TOLDO,"232,19","156,8",...,"243,79","210,62","68,13","231,92",2000
420215 BELMONTE,"301,15","162,59",...,"124,83",...,"2006,64","301,67",2000
420220 BENEDITO NOVO,"491,07","388,67",...,"274,09","266,71","248,82","485,42",2000
420230 BIGUACU,"608,84","445,23","318,57","358,91","390,06","380,81","589,86",2000
420240 BLUMENAU,"926,61","496,59","1389,44","513,95","729,6","1144,8","908,71",2000
420243 BOCAINA DO SUL,"293,51","117,91",...,"134,29",...,"188,63","283,12",2000
420245 BOMBINHAS,"630,73","684,51","1234,79","336,59","242,62","144,13","601,9",2000
420250 BOM JARDIM DA SERRA,"529,39","205,51",...,"175,7",...,"543,32","436,5",2000
420253 BOM JESUS,"379,92","128,89","294,33","191,83",...,...,"315,08",2000
420257 BOM JESUS DO OESTE,"283,02","140,93",...,"394,21",...,"459,72","280,49",2000
420260 BOM RETIRO,"442,7","229,18",...,"236,55","270,42","113,74","411,69",2000
420270 BOTUVERA,"549,32",...,...,"260,59",...,"325,36","546,38",2000
420280 BRACO DO NORTE,"895,84","351,48","1940,58","247,47",565,"312,57","860,11",2000
420285 BRACO DO TROMBUDO,"489,79","374,47",...,"215,6",...,"342,46","461,79",2000
420287 BRUNOPOLIS,"319,68","158,64",...,"196,95",...,"101,28","282,91",2000
420290 BRUSQUE,"819,59","529,49","2893,74","634,9","3482,29","1593,7","818,58",2000
420300 CACADOR,"604,29","289,66","401,68","306,33","241,72","267,61","542,7",2000
420310 CAIBI,"606,24","175,94",...,"320,16",...,"181,05","564,25",2000
420315 CALMON,"235,09","133,23","378,32","135,83","86,23",121,"197,78",2000
420320 CAMBORIU,"482,62","412,36","410,8","258,38","158,09","332,29",468,2000
420325 CAPAO ALTO,"369,15","225,39",...,"204,41","206,38","290,99","345,57",2000
420330 CAMPO ALEGRE,"434,93","356,82",...,"262,69",...,"302,37","420,68",2000
420340 CAMPO BELO DO SUL,"333,73","150,64",...,"190,34","85,33","146,11","295,62",2000
420350 CAMPO ERE,"377,9","171,87","2435,96","173,65",...,"37,43","333,18",2000
420360 CAMPOS NOVOS,"540,34","151,78",...,"254,06","143,61","441,8","494,13",2000
420370 CANELINHA,"518,01","301,85",...,"307,75","185,45","390,23","505,6",2000
420380 CANOINHAS,"529,27","190,12","554,22","294,84","211,73","269,17","500,69",2000
420390 CAPINZAL,"565,29","206,67","954,13","327,55","412,15","404,43","515,43",2000
420395 CAPIVARI DE BAIXO,"467,84","305,44",...,"323,87","185,8","506,85","441,45",2000
420400 CATANDUVAS,"625,83","191,47","114,49","323,57","314,47","610,03","553,02",2000
420410 CAXAMBU DO SUL,"786,15","232,46","72,3","192,43",...,"104,07","702,93",2000
420415 CELSO RAMOS,"259,86","203,49","36,74","234,91",...,"177,74","257,78",2000
420417 CERRO NEGRO,"211,38","181,6",...,"274,49",...,"133,55","214,49",2000
420419 CHAPADAO DO LAGEADO,"313,85","166,67",...,"221,86","389,3",...,"310,12",2000
420420 CHAPECO,"739,93","412,68","1828,64","357,51","213,67","523,71","672,48",2000
420425 COCAL DO SUL,"562,71","416,4",...,"355,56","236,33","170,44","557,96",2000
420430 CONCORDIA,"750,12","1132,54","2398,02","489,34","494,73","668,68","749,81",2000
420435 CORDILHEIRA ALTA,"629,2","492,87","1005,33","342,32",...,...,"610,81",2000
420440 CORONEL FREITAS,"534,23","234,87","80,45","164,01",...,"339,01","477,89",2000
420445 CORONEL MARTINS,"367,56","187,34",...,"124,94","3596,53","76,33","340,4",2000
420450 CORUPA,"582,11","588,85",...,"235,9","344,03","600,72","572,15",2000
420455 CORREIA PINTO,"427,48","229,83","897,11","315,53","328,65","222,06","404,47",2000
420460 CRICIUMA,"850,02","376,28","919,52","370,91","341,87","549,04","802,66",2000
420470 CUNHA PORA,"574,2","195,19",...,"406,21",...,"753,15","563,12",2000
420475 CUNHATAI,"568,32","97,54",...,...,...,...,"566,77",2000
420480 CURITIBANOS,"543,09","259,62","550,31","251,86","153,55","522,22","496,12",2000
420490 DESCANSO,"446,04","253,39",...,"191,18",...,...,"426,04",2000
420500 DIONISIO CERQUEIRA,"425,34","216,28",...,"164,68","84,08","1334,26","382,88",2000
420510 DONA EMMA,"572,03","276,05",...,"99,88",...,"101,91","561,44",2000
420515 DOUTOR PEDRINHO,"537,65","458,15","561,53","133,59",...,"311,12","530,45",2000
420517 ENTRE RIOS,"190,15","270,38",...,"310,92","41,31","39,14","164,74",2000
420519 ERMO,"407,86",...,"118,69","271,69",...,"253,68","396,22",2000
420520 ERVAL VELHO,"513,59","195,66",...,"268,37",...,"489,79","476,86",2000
420530 FAXINAL DOS GUEDES,"791,97","408,04","483,4","268,03","269,65","1007,29","641,41",2000
420535 FLOR DO SERTAO,"440,03","134,74","290,15","109,66","367,36","239,1","392,35",2000
420540 FLORIANOPOLIS,"1469,07","567,23","2552,84","621,92","918,56","1950,5","1379,81",2000
420543 FORMOSA DO SUL,"624,58","44,56",...,"206,97",...,...,"547,77",2000
420545 FORQUILHINHA,"618,31","324,75",-,"339,89","323,64","685,51","604,36",2000
420550 FRAIBURGO,"539,26","307,26","418,13","291,17","359,62","259,72","496,81",2000
420555 FREI ROGERIO,"329,77","945,56","927,67","153,74",...,"245,53","323,97",2000
420560 GALVAO,"597,47","170,57",...,"160,26",...,"66,02","506,3",2000
420570 GAROPABA,"464,71","234,18",...,"305,98","258,91","190,34","450,26",2000
420580 GARUVA,"486,8","218,63","359,22","282,49","229,36","284,47","459,52",2000
420590 GASPAR,"728,76","336,05","444,19","506,46","223,4","625,49","715,73",2000
420600 GOVERNADOR CELSO RAMOS,461,"228,7",...,"323,05","73,64","291,01","455,25",2000
420610 GRAO PARA,"788,6","289,33",...,"239,25",...,"582,63","773,09",2000
420620 GRAVATAL,"474,65","302,71",...,"233,2",...,"155,68","457,49",2000
420630 GUABIRUBA,"670,59","502,78",...,"354,57","434,41","460,63","658,52",2000
420640 GUARACIABA,"430,95","276,78","264,43","144,06","144,92","159,63","414,02",2000
420650 GUARAMIRIM,"594,44","370,71",...,"387,07",...,"718,2","583,57",2000
420660 GUARUJA DO SUL,"698,38","140,48",...,"133,08","150,37","31,69","651,01",2000
420665 GUATAMBU,"298,52","148,06","23,64","112,66","56,72","94,44","272,88",2000
420670 HERVAL D'OESTE,"575,8","168,02",...,"285,3","708,15","1159,32","496,56",2000
420675 IBIAM,"537,59","192,55","253,95","171,77","438,34","1211,29","510,62",2000
420680 IBICARE,"522,77","402,19",...,"315,36",...,...,"500,44",2000
420690 IBIRAMA,"605,17","588,89",...,"539,69","517,02","1206,33","604,75",2000
420700 ICARA,"454,32","368,66","1622,69","315,02","438,64","683,72","450,26",2000
420710 ILHOTA,"496,39","192,27","295,54","414,09","209,86","674,96","488,96",2000
420720 IMARUI,"379,6","269,14","21,15","336,21","72,55","205,88","375,25",2000
420730 IMBITUBA,"492,58","461,84",...,"323,4","625,42","91,59","487,5",2000
420740 IMBUIA,"468,11",...,"480,2","469,61",...,"58,84","467,83",2000
420750 INDAIAL,"677,8","334,21","1361,36","591,53","315,43","646,8","672,17",2000
420757 IOMERE,"743,08","203,01",...,"255,16",...,"349,29","724,79",2000
420760 IPIRA,"462,14",562,...,"435,25",...,"301,58","461,28",2000
420765 IPORA DO OESTE,"381,3","203,81",...,"184,68",...,"116,62","371,12",2000
420768 IPUACU,"495,27","61,02",...,"251,71","131,39","261,16","293,38",2000
420770 IPUMIRIM,"538,34","167,78",...,"291,47",...,"502,07","524,3",2000
420775 IRACEMINHA,"417,76","168,21","350,41","120,56",...,"84,14","397,32",2000
420780 IRANI,"615,58","248,24",...,"317,34","331,09","423,28","550,19",2000
420785 IRATI,"841,62","580,4",...,"1597,58","149,02","138,71","898,17",2000
420790 IRINEOPOLIS,"451,56","213,43","208,99","276,25",...,"231,02","417,89",2000
420800 ITA,"609,42","892,54","801,62","360,58","235,22","1389,6","584,34",2000
420810 ITAIOPOLIS,"323,62","155,01",...,"181,11","331,96","215,33","308,81",2000
420820 ITAJAI,"796,04","382,03","941,76","473,07","370,49","651,11","760,25",2000
420830 ITAPEMA,"1051,8","345,2","938,56","401,18","683,26","1021,07","962,55",2000
420840 ITAPIRANGA,"575,65","164,1",...,"277,97","704,04","181,81","558,15",2000
420845 ITAPOA,"646,57","289,07","185,87","363,7","297,52","431,04","596,53",2000
420850 ITUPORANGA,"549,77","189,82","767,25","274,6",...,"2853,76","557,11",2000
420860 JABORA,"509,6","226,33","297,5","179,93","285,97",...,"467,2",2000
420870 JACINTO MACHADO,"366,09","254,11","145,42","253,47",...,"38,83","359,62",2000
420880 JAGUARUNA,"540,95","376,83",...,"295,67","157,05","391,45","527,92",2000
420890 JARAGUA DO SUL,"842,21","407,44","1078,64","434,4","560,05","661,38","815,65",2000
420895 JARDINOPOLIS,"269,86","53,79",...,"103,56",...,...,"246,64",2000
420900 JOACABA,"940,41","318,04","3685,36","407,63","226,04","537,88","882,44",2000
420910 JOINVILLE,"831,09","443,73","864,34","467,04","382,38","548,03","801,02",2000
420915 JOSE BOITEUX,"513,92","199,77","1788,96","170,92","151,31","457,98","435,99",2000
420917 JUPIA,"389,86","273,55",...,"193,07",...,...,"355,96",2000
420920 LACERDOPOLIS,"888,88",...,...,"434,06",...,"1777,16","913,57",2000
420930 LAGES,"729,31","373,42","452,04","309,57","364,8",437,"660,11",2000
420940 LAGUNA,"501,58","313,45","76,18","345,63","538,36","308,64","485,74",2000
420945 LAJEADO GRANDE,"609,8","135,43",...,"126,08",422,"189,23","533,78",2000
420950 LAURENTINO,"699,16","264,12",...,"599,75",...,"450,92","695,52",2000
420960 LAURO MULLER,"454,9","303,28",...,"305,36","658,85","341,86","446,04",2000
420970 LEBON REGIS,"319,8","217,39","126,4","193,96","149,05","117,15","304,52",2000
420980 LEOBERTO LEAL,"375,2",...,...,...,"323,48",...,"375,11",2000
420985 LINDOIA DO SUL,"856,02","127,8",...,"172,4",...,"581,58","797,27",2000
420990 LONTRAS,"483,31","253,73",...,"371,4","68,44","412,4","472,63",2000
421000 LUIZ ALVES,"1164,19","262,95",...,"258,23","134,68","1379,83","1134,85",2000
421003 LUZERNA,"695,44","321,84",...,"383,51","96,56","438,87","677,94",2000
421005 MACIEIRA,"590,76","250,32","2251,28","499,72","251,91",...,"560,53",2000
421010 MAFRA,"500,99","375,75","227,33","326,59","320,38","254,55","487,56",2000
421020 MAJOR GERCINO,"419,69","204,27",...,"211,75","224,43","309,83","411,62",2000
421030 MAJOR VIEIRA,"419,69","190,41","5657,05","334,72","77,07","325,8","412,4",2000
421040 MARACAJA,"816,66","348,66","64,61","409,16","111,07","363,98","802,78",2000
421050 MARAVILHA,"612,2","317,52",...,"238,48","166,82","584,12","580,51",2000
421055 MAREMA,"642,85","148,31",...,"87,43",...,"204,85","574,25",2000
421060 MASSARANDUBA,"657,46","378,52",...,"320,51",...,"309,13","651,1",2000
421070 MATOS COSTA,"386,58","166,32","111,54","255,54","144,01","17,34","338,37",2000
421080 MELEIRO,"796,74","419,04",...,"229,05",...,"554,54","794,57",2000
421085 MIRIM DOCE,"829,92","135,71",...,...,...,"215,04","820,96",2000
421090 MODELO,"484,27","192,4",...,"194,35",...,...,"449,94",2000
421100 MONDAI,"470,13","183,94",...,"308,09",...,"405,82","456,14",2000
421105 MONTE CARLO,"319,11","155,89",...,"187,24","166,64","450,56","297,53",2000
421110 MONTE CASTELO,"354,56","177,74","199,61","297,61","209,3","1295,61","343,67",2000
421120 MORRO DA FUMACA,"571,68","250,21",...,"447,66",...,"333,48","555,27",2000
421125 MORRO GRANDE,"332,44","213,05",...,"276,5",...,"154,37","329,6",2000
421130 NAVEGANTES,"485,14","275,86","320,17","314,24","236,97","633,05","462,74",2000
421140 NOVA ERECHIM,"638,26","281,89","188,85","374,51",...,"615,51","612,14",2000
421145 NOVA ITABERABA,"524,86","241,31",...,"167,37",...,...,"457,43",2000
421150 NOVA TRENTO,"556,01","362,72",...,"286,32","188,38","185,8","554,73",2000
421160 NOVA VENEZA,"672,47","225,62",...,"277,47","318,83","856,79","641,64",2000
421165 NOVO HORIZONTE,"482,34","148,76",...,"211,08","215,16",...,"433,2",2000
421170 ORLEANS,"581,01","294,08",...,"290,06","114,72",...,"562,2",2000
421175 OTACILIO COSTA,"517,24","282,86",...,"414,24",...,"302,07","506,87",2000
421180 OURO,"688,6","450,26","202,29","471,98",...,"1818,22","682,73",2000
421185 OURO VERDE,"557,71","155,97",...,"253,29",...,"270,97","522,3",2000
421187 PAIAL,"355,61","106,61",...,"158,3",...,"557,24","340,35",2000
421189 PAINEL,"409,28","348,24","343,15","417,36",...,"661,84","405,72",2000
421190 PALHOCA,"612,82","409,74","487,82","390,51","377,03","253,7","590,15",2000
421200 PALMA SOLA,"409,08","190,86","593,83","209,13","675,05","50,12","376,43",2000
421205 PALMEIRA,"450,03","153,7",...,"339,9",...,"110,92","427,04",2000
421210 PALMITOS,"634,66","205,28","1068,6","404,09",...,"760,78","609,35",2000
421220 PAPANDUVA,"368,21","370,44",-,"219,12","83,98","198,99","323,61",2000
421223 PARAISO,"360,63","633,7",...,"171,89",...,"132,32","348,35",2000
421225 PASSO DE TORRES,"387,45","231,4",...,"3590,69",...,"344,76","394,46",2000
421227 PASSOS MAIA,"409,96","262,31",...,"203,55","52,24","75,88","331,36",2000
421230 PAULO LOPES,"400,65","143,44","975,01","383,89",...,...,"391,06",2000
421240 PEDRAS GRANDES,"453,93",...,...,"517,22",...,-,"453,41",2000
421250 PENHA,"520,53","409,11","443,49","292,56","434,5","327,59","509,43",2000
421260 PERITIBA,"504,73","262,69",...,"271,28","193,97","164,55","495,39",2000
421270 PETROLANDIA,"487,43","175,77","240,59","265,39",...,"784,86","466,88",2000
421280 BALNEARIO PICARRAS,"662,86","324,39","535,46","476,93","291,14","905,04","644,76",2000
421290 PINHALZINHO,"579,68","386,87","235,91","208,96","316,77","220,84","529,17",2000
421300 PINHEIRO PRETO,"442,35","379,25",...,"299,08",...,...,"421,13",2000
421310 PIRATUBA,"494,67","340,79",...,"864,81",...,"241,39","501,32",2000
421315 PLANALTO ALEGRE,"654,35","132,23",...,"326,18",...,"435,86","541,97",2000
421320 POMERODE,"773,88","406,3","728,53","419,87",...,"318,87","765,09",2000
421330 PONTE ALTA,"387,56","185,84",...,"170,24","160,75","119,44","330,65",2000
421335 PONTE ALTA DO NORTE,"431,15","352,34","256,31","195,95",...,"333,84","415,23",2000
421340 PONTE SERRADA,"516,69","171,02",...,"208,02","126,69","397,47","418,2",2000
421350 PORTO BELO,"667,27","334,33","526,7","408,3","4195,67","314,51","630,24",2000
421360 PORTO UNIAO,"615,83","278,14","466,8","352,11","210,1","1365,67","582,63",2000
421370 POUSO REDONDO,"496,66","546,4","413,25","201,67","266,46","626,65","466,96",2000
421380 PRAIA GRANDE,"443,46","207,19",...,"197,25","46,51","115,72","431,46",2000
421390 PRESIDENTE CASTELLO BRANCO,"580,92","118,97",...,"963,99",...,...,"580,34",2000
421400 PRESIDENTE GETULIO,"606,72","364,87",...,"277,11","208,28","273,38","599,1",2000
421410 PRESIDENTE NEREU,"356,94","261,37",...,"133,54",...,...,"353,93",2000
421415 PRINCESA,"346,43","261,85",...,"158,62",...,...,"324,51",2000
421420 QUILOMBO,"586,86","237,65","303,81","204,77","76,13","289,58","517,23",2000
421430 RANCHO QUEIMADO,"437,49","372,3",...,"261,29",...,"193,88","429,67",2000
421440 RIO DAS ANTAS,"475,16","178,18",...,"286,7",...,"213,66","446,21",2000
421450 RIO DO CAMPO,"452,64","196,64",...,"282,83",...,"512,61","438,14",2000
421460 RIO DO OESTE,"545,24","326,09",...,"429,26",...,"305,75","540,24",2000
421470 RIO DOS CEDROS,"552,13","157,8",...,"296,27",...,"653,41","538,44",2000
421480 RIO DO SUL,"789,65","451,58","396,83","362,11","274,88","728,09","769,18",2000
421490 RIO FORTUNA,"496,19","919,43",...,"372,65",...,...,"494,45",2000
421500 RIO NEGRINHO,"490,63","549,78",...,"299,11","240,09","747,2","476,54",2000
421505 RIO RUFINO,"355,05","131,29",...,"670,87",...,"96,43","366,7",2000
421507 RIQUEZA,"490,26",279,"173,93","291,69",...,"622,71","464,87",2000
421510 RODEIO,"600,78","248,03",...,"151,82",...,"393,77","595,72",2000
421520 ROMELANDIA,"297,75","87,37",...,"81,15",...,"261,8","284,93",2000
421530 SALETE,"432,11","106,36","1537,21","306,97",...,"356,91","430,89",2000
421535 SALTINHO,"367,56","182,82",...,"217,3",...,"688,22","327,99",2000
421540 SALTO VELOSO,"765,01","265,99",...,"246,38",...,...,"660,46",2000
421545 SANGAO,"651,19","273,63",...,"248,65","731,15","112,08","624,02",2000
421550 SANTA CECILIA,"383,34","209,72","138,43","184,23","212,85","444,66","364,42",2000
421555 SANTA HELENA,"383,32","189,84",...,"138,44",...,...,"361,78",2000
421560 SANTA ROSA DE LIMA,"460,96",-,...,"1256,46","480,41","449,2","460,77",2000
421565 SANTA ROSA DO SUL,"409,23","198,27",...,"229,52",...,"247,05","394,65",2000
421567 SANTA TEREZINHA,"334,32","135,74","179,48","196,93",...,"285,07","321,91",2000
421568 SANTA TEREZINHA DO PROGRESSO,"368,48","105,87","76,52","181,24",-,-,"352,02",2000
421569 SANTIAGO DO SUL,"282,41","68,74",...,"64,74",...,...,"264,74",2000
