Município,Branca,Preta,Amarela,Parda,Indígena,Sem declaração,Total,Ano
150230 CAPITAO POCO,"122,38","69,02",...,"89,86","32,95","379,56","98,63",1991
150240 CASTANHAL,"259,53","136,73","1143,96","189,23","206,22","322,77","211,59",1991
150250 CHAVES,"159,13","75,57",...,"90,53","63,22","125,16","93,73",1991
150260 COLARES,"108,21",...,...,"97,69",...,"82,26","99,12",1991
150270 CONCEICAO DO ARAGUAIA,"208,98","103,89","100,4","146,16","177,65","93,21","157,08",1991
150275 CONCORDIA DO PARA,"213,05","126,58","14,73","159,87",...,"29,67","165,73",1991
150277 CURIONOPOLIS,"234,29","181,19","48,61","186,81","247,54","172,73","196,99",1991
150280 CURRALINHO,"206,76","125,97","231,33","114,88",125,"111,6",126,1991
150290 CURUCA,"74,61","56,85",...,"75,3",...,"62,14","74,9",1991
150293 DOM ELISEU,"316,77","106,62","1093,67","144,81","141,42","120,72","182,61",1991
150300 FARO,"122,62","99,14",...,"79,82","45,51","67,01","84,62",1991
150307 GARRAFAO DO NORTE,"85,19","67,7","77,51","86,9","100,08","46,12","85,74",1991
150310 GURUPA,"116,19","64,86",...,"89,42",...,"136,22","94,04",1991
150320 IGARAPE-ACU,"185,71","106,4","1784,47","119,4",...,60,"133,76",1991
150330 IGARAPE-MIRI,"151,01","63,03","142,81","103,37",...,"64,7","110,97",1991
150340 INHANGAPI,"156,27","85,96",...,"124,16",...,"96,04","124,01",1991
150350 IRITUIA,"104,46","79,49","71,26","100,83",...,"73,06","99,99",1991
150360 ITAITUBA,"271,55","222,31","381,17","210,37","114,9","193,31","221,09",1991
150370 ITUPIRANGA,"162,06","85,09","70,83","93,91",...,"56,21","101,65",1991
150380 JACUNDA,"220,72","85,32","157,11","148,51","72,21","41,33","159,37",1991
150390 JURUTI,"116,17","89,04","46,92","98,82","226,97","69,16","99,76",1991
150400 LIMOEIRO DO AJURU,"113,95","133,92","62,82","96,12",...,"137,76","100,11",1991
150405 MAE DO RIO,"174,52","121,86","342,3","141,01","465,24","543,6","147,72",1991
150410 MAGALHAES BARATA,"91,32","125,49",...,"80,53",...,"89,42","81,94",1991
150420 MARABA,"297,13","156,35","127,45","179,55","93,3","149,17","202,86",1991
150430 MARACANA,"124,22","69,88","85,47","86,1",...,"86,09","90,57",1991
150440 MARAPANIM,"114,3","67,61","26,61","107,2",-,"274,22","109,25",1991
150445 MEDICILANDIA,"203,47","99,44","235,9","143,45",...,...,"162,63",1991
150450 MELGACO,"55,29","66,9","50,38","93,51","84,74","89,52","88,97",1991
150460 MOCAJUBA,"129,17","88,24",...,"103,58",...,-,"107,69",1991
150470 MOJU,"143,49","102,05","55,95","105,39","47,72","76,68","109,75",1991
150480 MONTE ALEGRE,"134,14","76,99","668,8","111,38",...,"137,77","114,96",1991
150490 MUANA,"95,07","110,56",...,"100,13",...,"51,58","97,68",1991
150500 NOVA TIMBOTEUA,"184,18","98,1","221,82","108,85",...,"84,22","125,78",1991
150510 OBIDOS,"162,54","117,37",...,"110,86","57,5","101,67","121,97",1991
150520 OEIRAS DO PARA,"90,41","71,97",...,"123,82","61,1","137,07","118,8",1991
150530 ORIXIMINA,"232,31","93,23","47,22","164,12","53,44","102,05","169,85",1991
150540 OUREM,"120,03","68,87",...,"89,94","39,94","34,76","92,43",1991
150543 OURILANDIA DO NORTE,"292,35","183,1","72,21","193,68","26,6","118,58","216,8",1991
150548 PACAJA,"141,75","166,74",...,"72,62","69,32","62,58","84,8",1991
150550 PARAGOMINAS,"331,22","138,46","792,48","160,93","48,23","233,56","198,62",1991
150553 PARAUAPEBAS,"432,94","114,91","378,28","199,59","509,03","34,98","250,61",1991
150560 PEIXE-BOI,"130,41","81,73",...,"90,01",...,"40,91","96,91",1991
150570 PONTA DE PEDRAS,"130,29","109,55",...,"102,68",...,...,"106,98",1991
150580 PORTEL,"119,7","84,21","109,79","108,12",...,"46,56","109,64",1991
150590 PORTO DE MOZ,"302,09","77,73",...,"103,03",...,"78,64","114,68",1991
150600 PRAINHA,"122,9","87,96",...,"89,42",...,"85,35","92,97",1991
150610 PRIMAVERA,"178,73","73,84",...,"62,96","28,39","25,53","77,03",1991
150613 REDENCAO,"278,91","108,24","303,09","191,28","86,01","238,51","209,18",1991
150616 RIO MARIA,"255,2","123,21","288,24","144,41","485,3","578,01","176,84",1991
150618 RONDON DO PARA,"309,09","172,47",...,"173,28","40,01","176,94","207,45",1991
150619 RUROPOLIS,"103,26","56,2",...,"76,07","33,72","51,93","83,48",1991
150620 SALINOPOLIS,"165,88","126,08",...,"122,55","108,55","67,04","127,05",1991
150630 SALVATERRA,"239,87","75,71","220,1","147,63",...,"182,26","156,97",1991
150640 SANTA CRUZ DO ARARI,"141,89","90,35",...,"109,77","42,19","44,69","110,42",1991
